,STEMGRADS.MHL.A,STEMGRADS.AZE.A,STEMGRADS.COL.A,STEMGRADS.ARE.A,STEMGRADS.CZE.A,STEMGRADS.GIB.A,STEMGRADS.FRA.A,STEMGRADS.GEO.A,STEMGRADS.MNG.A,STEMGRADS.SWE.A,STEMGRADS.TUR.A,STEMGRADS.GHA.A,STEMGRADS.HUN.A,STEMGRADS.IND.A,STEMGRADS.JOR.A,STEMGRADS.LTU.A,STEMGRADS.SLV.A,STEMGRADS.UKR.A,STEMGRADS.BLR.A,STEMGRADS.DZA.A,STEMGRADS.EST.A,STEMGRADS.MEX.A,STEMGRADS.NZL.A,STEMGRADS.QAT.A,STEMGRADS.ALB.A,STEMGRADS.BIH.A,STEMGRADS.LKA.A,STEMGRADS.ISR.A,STEMGRADS.RWA.A,STEMGRADS.SAU.A,STEMGRADS.SGP.A,STEMGRADS.TTO.A,STEMGRADS.SVN.A,STEMGRADS.TUN.A,STEMGRADS.BGR.A,STEMGRADS.CRI.A,STEMGRADS.CUB.A,STEMGRADS.UZB.A,STEMGRADS.ARM.A,STEMGRADS.BFA.A,STEMGRADS.BWA.A,STEMGRADS.LUX.A,STEMGRADS.MAR.A,STEMGRADS.MKD.A,STEMGRADS.MLT.A,STEMGRADS.PAN.A,STEMGRADS.TCA.A,STEMGRADS.CAN.A,STEMGRADS.AND.A,STEMGRADS.DNK.A,STEMGRADS.GRC.A,STEMGRADS.ISL.A,STEMGRADS.SYR.A,STEMGRADS.DOM.A,STEMGRADS.EGY.A,STEMGRADS.SXM.A,STEMGRADS.OMN.A,STEMGRADS.ECU.A,STEMGRADS.HRV.A,STEMGRADS.PHL.A,STEMGRADS.WSM.A,STEMGRADS.TKM.A,STEMGRADS.TCD.A,STEMGRADS.MDG.A,STEMGRADS.BMU.A,STEMGRADS.SMR.A,STEMGRADS.SVK.A,STEMGRADS.SYC.A,STEMGRADS.VGB.A,STEMGRADS.ZAF.A,STEMGRADS.CYP.A,STEMGRADS.IRL.A,STEMGRADS.KGZ.A,STEMGRADS.AUS.A,STEMGRADS.AUT.A,STEMGRADS.BEL.A,STEMGRADS.CHE.A,STEMGRADS.NLD.A,STEMGRADS.POL.A,STEMGRADS.PSE.A,STEMGRADS.USA.A,STEMGRADS.DEU.A,STEMGRADS.ESP.A,STEMGRADS.GBR.A,STEMGRADS.FIN.A,STEMGRADS.ITA.A,STEMGRADS.MDA.A,STEMGRADS.LVA.A,STEMGRADS.MCO.A,STEMGRADS.MYS.A,STEMGRADS.MUS.A,STEMGRADS.NOR.A,STEMGRADS.ROU.A,STEMGRADS.PRT.A,STEMGRADS.ARG.A,STEMGRADS.BHR.A,STEMGRADS.BLZ.A,STEMGRADS.CHL.A,STEMGRADS.KOR.A,STEMGRADS.LBN.A,STEMGRADS.MAC.A,STEMGRADS.SRB.A,STEMGRADS.URY.A,STEMGRADS.THA.A,STEMGRADS.BRA.A,STEMGRADS.LIE.A,STEMGRADS.BEN.A,STEMGRADS.NAM.A
,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Marshall Islands","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Azerbaijan","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Colombia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), United Arab Emirates","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Czechia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Gibraltar","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), France","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Georgia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Mongolia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Sweden","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Turkey","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Ghana","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Hungary","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), India","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Jordan","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Lithuania","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), El Salvador","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Ukraine","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Belarus","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Algeria","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Estonia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Mexico","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), New Zealand","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Qatar","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Albania","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Bosnia and Herzegovina","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Sri Lanka","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Israel","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Rwanda","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Saudi Arabia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Singapore","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Trinidad and Tobago","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Slovenia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Tunisia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Bulgaria","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Costa Rica","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Cuba","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Uzbekistan","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Armenia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Burkina Faso","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Botswana","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Luxembourg","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Morocco","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), North Macedonia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Malta","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Panama","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Turks and Caicos Islands","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Canada","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Andorra","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Denmark","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Greece","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Iceland","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Syrian Arab Republic","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Dominican Republic","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Egypt","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Sint Maarten (Dutch part)","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Oman","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Ecuador","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Croatia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Philippines","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Samoa","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Turkmenistan","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Chad","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Madagascar","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Bermuda","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), San Marino","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Slovakia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Seychelles","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), British Virgin Islands","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), South Africa","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Cyprus","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Ireland","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Kyrgyzstan","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Australia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Austria","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Belgium","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Switzerland","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Netherlands","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Poland","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Palestine","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), United States of America","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Germany","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Spain","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), United Kingdom of Great Britain and Northern Ireland","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Finland","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Italy","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Republic of Moldova","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Latvia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Monaco","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Malaysia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Mauritius","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Norway","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Romania","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Portugal","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Argentina","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Bahrain","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Belize","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Chile","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Republic of Korea","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Lebanon","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), China, Macao Special Administrative Region","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Serbia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Uruguay","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Thailand","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Brazil","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Liechtenstein","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Benin","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Namibia"
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.26206016540527,,,,,,,,,,,,,52.5,,,,,,,,,,,32.89947891235352,,,,,,,,,,,,,26.41494941711426,24.45953941345215,,,,,,,,,,,,,42.27920913696289,,,,,,,,,
1999,,,,,24.26152992248535,,,23.53861999511719,21.33266067504883,28.53582954406738,30.34004974365234,,18.1302604675293,,,27.42038917541504,,36.79994964599609,,,18.92480087280273,23.1638298034668,,,,,,45.63956069946289,,,,,23.26309967041016,,19.00737953186035,,,,,,21.7423095703125,,,36.74448013305664,,,,,,19.60835075378418,,15.76686954498291,,,,,,,26.00893974304199,,43.40658950805664,,,,,,22.28893089294434,,,,14.01616954803467,32.49085998535156,22.65316963195801,20.84326934814453,,,25.09465026855469,17.12583923339844,,18.39093971252441,17.73847961425781,27.80365943908691,23.78615951538086,,29.9566593170166,24.12339973449707,,17.13692092895508,,,,16.06138038635254,24.49624061584473,,,,,,41.83769989013672,,,,,,,,,
2000,,,,,24.71335983276367,,30.55257034301758,22.98324966430664,22.89751052856445,31.07807922363281,30.65550994873047,,13.21910953521729,,,26.75408935546875,,,,,19.41802978515625,24.36202049255371,,21.0256404876709,7.032730102539063,,,,,,,,,,18.29059028625488,,,,,,,,,30.91613006591797,11.9818000793457,,,,,18.26263046264648,,19.73019027709961,,,,,,,27.28223991394043,,24.38423919677734,,13.70629024505615,,,,22.25649070739746,,,,,34.49974822998047,,20.30216979980469,,19.37998962402344,25.27603912353516,16.31534957885742,,20.1378002166748,,26.91868019104004,25.42914962768555,24.9205493927002,28.29196929931641,23.28071975708008,,16.23852920532227,,,,16.70619964599609,25.13100051879883,18.52333068847656,,,,,40.42145919799805,20.82957077026367,,,,,,,,
2001,,,,,22.24896049499512,,,22.27462959289551,20.24481964111328,32.61973190307617,,,11.20728015899658,,,26.49338912963867,,30.62811088562012,,,18.71052932739258,25.0996208190918,,20.30303001403809,5.91165018081665,,,,,,,,20.3319206237793,,20.5898494720459,13.35190010070801,,,,,8.244680404663086,,18.40242958068848,27.75378036499023,9.635549545288086,,,,,21.82126045227051,,19.02227020263672,,,,,,,25.09502983093262,,,,,,15.15151977539063,,26.62529945373535,,,,,30.80011940002441,20.6319694519043,,,19.31283950805664,24.39790916442871,16.10479927062988,,20.74641990661621,,26.27932929992676,27.28025054931641,27.50637054443359,29.95284080505371,25.74423980712891,,12.31534004211426,,,,16.58357048034668,24.0915699005127,,,,,,41.41957855224609,23.25453948974609,3.202330112457275,,,,13.39323997497559,,,1.970440030097961
2002,,,24.69111061096191,,23.44035911560059,,30.36725044250488,22.64092063903809,19.13870048522949,32.33110809326172,,,13.88852977752686,,,23.97068977355957,21.26239013671875,28.70751953125,,,17.27202033996582,25.3945198059082,,16.95191955566406,,,,,,,,,20.0238094329834,,27.60330963134766,12.26618003845215,13.12790012359619,,,,13.64204978942871,,,26.879150390625,8.618840217590332,18.37002944946289,,,34.48276138305664,22.22986030578613,,18.17767906188965,,,,,,,22.83427047729492,,,,,,,,26.1345100402832,,0.0,,13.13842964172363,29.14852905273438,16.19832038879395,22.9478702545166,,19.3764705657959,23.9432201385498,16.44759941101074,,,,26.51639938354492,27.9344596862793,26.96746063232422,29.09090995788574,23.91379928588867,,14.32044982910156,,,,15.74936008453369,,19.43117904663086,,,,,41.08398056030273,22.6939697265625,3.814980030059814,,,,12.80331039428711,,,
2003,,,,,22.90897941589355,,29.88172912597656,23.54060935974121,19.61834907531738,30.94132995605469,,,12.76661968231201,,,23.23097038269043,21.76963043212891,26.51762962341309,,,18.92275047302246,28.92856025695801,,16.45022010803223,6.132259845733643,,,,,,,,18.74237060546875,,21.31269073486328,,,,,,,,,23.78425979614258,9.130860328674316,19.66502952575684,,,45.94594955444336,19.82785034179688,,16.41493988037109,,,,,,,21.48630905151367,,,,,,,,25.09419059753418,,,,12.79743003845215,29.41383934020996,18.67472076416016,22.57109069824219,,,22.54015922546387,,,23.18412017822266,,,28.97752952575684,25.90254020690918,30.11128997802734,23.48022079467773,,13.93826007843018,,,,,,20.38651084899902,,18.63014030456543,,,40.77452087402344,,2.592920064926147,,,,12.56602954864502,40.98360824584961,,6.764259815216064
2004,,,,,22.75629997253418,,27.67510986328125,24.17797088623047,18.2197208404541,29.10762977600098,29.29096031188965,,11.35138988494873,,25.48843002319336,22.75363922119141,,,24.98780059814453,,18.53443908691406,,,,,,,,,9.399060249328613,,,,,22.04233932495117,,,,,,,,,23.32755088806152,10.30303001403809,14.35004043579102,,,37.77777862548828,19.47738075256348,28.27672004699707,16.23422050476074,,,,,,,,,,,,,,,25.04029083251953,,,,,27.68567085266113,14.61674976348877,,,,22.48036003112793,16.66115951538086,,20.96760940551758,,,28.76682090759277,22.77503967285156,30.32926940917969,22.10994911193848,,13.81015968322754,,45.02602005004883,,16.48088073730469,22.96150016784668,23.67581939697266,,,,26.46163940429688,38.66941833496094,21.97965049743652,,,,,12.36880970001221,5.479450225830078,,
2005,,,,,22.52743911743164,,,,18.84181022644043,26.06455993652344,28.45119094848633,,11.73054981231689,,28.19548988342285,22.88139915466309,21.5226993560791,25.05303955078125,25.72697067260742,,22.84406089782715,27.66677093505859,18.3036994934082,,,,,,,18.30533027648926,,,19.14233016967773,,22.01008033752441,,,,,,,,,23.24600028991699,7.551990032196045,19.25296020507813,,,34.92063140869141,18.90592002868652,27.99806022644043,14.82369041442871,,,,,,,18.11949920654297,,,,,20.08791923522949,18.36734962463379,,26.81014060974121,,,,,,15.46308040618896,22.17170906066895,,,23.97430992126465,,,,,,27.89454078674316,22.20187950134277,,22.22628974914551,,13.50481986999512,,,,16.34779930114746,22.52737998962402,24.96655082702637,,19.91205978393555,,,37.4381103515625,20.83658027648926,5.136879920959473,,,,12.34566974639893,,,3.759089946746826
2006,,,,,,,27.69936943054199,21.59538078308105,19.54038047790527,26.02511024475098,22.42008972167969,,13.62917995452881,,,23.06023979187012,21.04647064208984,24.84074020385742,,,21.61787986755371,27.32850074768066,,,,,,,,31.65114974975586,,,17.16534996032715,,,,,,,,,,,21.6889705657959,11.0986499786377,20.44819068908691,,,38.09524154663086,18.16613960266113,,14.50852966308594,,,,,,,18.04998016357422,,,,,16.30229949951172,,,24.57328033447266,,,,13.91913032531738,,15.73810005187988,20.31905937194824,,17.18293952941895,22.97433090209961,,,,,,27.54784965515137,21.77256965637207,,21.70059013366699,,12.54638004302979,,42.68078994750977,,,20.33909034729004,24.40122985839844,13.78744983673096,17.91044998168945,,26.51939964294434,35.86753845214844,20.13985061645508,4.955100059509277,,,,,34.84848022460938,,
