,STEMGRADS.MHL.A,STEMGRADS.AZE.A,STEMGRADS.COL.A,STEMGRADS.ARE.A,STEMGRADS.CZE.A,STEMGRADS.GIB.A,STEMGRADS.FRA.A,STEMGRADS.GEO.A,STEMGRADS.MNG.A,STEMGRADS.SWE.A,STEMGRADS.TUR.A,STEMGRADS.GHA.A,STEMGRADS.HUN.A,STEMGRADS.IND.A,STEMGRADS.JOR.A,STEMGRADS.LTU.A,STEMGRADS.SLV.A,STEMGRADS.UKR.A,STEMGRADS.BLR.A,STEMGRADS.DZA.A,STEMGRADS.EST.A,STEMGRADS.MEX.A,STEMGRADS.NZL.A,STEMGRADS.QAT.A,STEMGRADS.ALB.A,STEMGRADS.BIH.A,STEMGRADS.LKA.A,STEMGRADS.ISR.A,STEMGRADS.RWA.A,STEMGRADS.SAU.A,STEMGRADS.SGP.A,STEMGRADS.TTO.A,STEMGRADS.SVN.A,STEMGRADS.TUN.A,STEMGRADS.BGR.A,STEMGRADS.CRI.A,STEMGRADS.CUB.A,STEMGRADS.UZB.A,STEMGRADS.ARM.A,STEMGRADS.BFA.A,STEMGRADS.BWA.A,STEMGRADS.LUX.A,STEMGRADS.MAR.A,STEMGRADS.MKD.A,STEMGRADS.MLT.A,STEMGRADS.PAN.A,STEMGRADS.TCA.A,STEMGRADS.CAN.A,STEMGRADS.AND.A,STEMGRADS.DNK.A,STEMGRADS.GRC.A,STEMGRADS.ISL.A,STEMGRADS.SYR.A,STEMGRADS.DOM.A,STEMGRADS.EGY.A,STEMGRADS.SXM.A,STEMGRADS.OMN.A,STEMGRADS.ECU.A,STEMGRADS.HRV.A,STEMGRADS.PHL.A,STEMGRADS.WSM.A,STEMGRADS.TKM.A,STEMGRADS.TCD.A,STEMGRADS.MDG.A,STEMGRADS.BMU.A,STEMGRADS.SMR.A,STEMGRADS.SVK.A,STEMGRADS.SYC.A,STEMGRADS.VGB.A,STEMGRADS.ZAF.A,STEMGRADS.CYP.A,STEMGRADS.IRL.A,STEMGRADS.KGZ.A,STEMGRADS.AUS.A,STEMGRADS.AUT.A,STEMGRADS.BEL.A,STEMGRADS.CHE.A,STEMGRADS.NLD.A,STEMGRADS.POL.A,STEMGRADS.PSE.A,STEMGRADS.USA.A,STEMGRADS.DEU.A,STEMGRADS.ESP.A,STEMGRADS.GBR.A,STEMGRADS.FIN.A,STEMGRADS.ITA.A,STEMGRADS.MDA.A,STEMGRADS.LVA.A,STEMGRADS.MCO.A,STEMGRADS.MYS.A,STEMGRADS.MUS.A,STEMGRADS.NOR.A,STEMGRADS.ROU.A,STEMGRADS.PRT.A,STEMGRADS.ARG.A,STEMGRADS.BHR.A,STEMGRADS.BLZ.A,STEMGRADS.CHL.A,STEMGRADS.KOR.A,STEMGRADS.LBN.A,STEMGRADS.MAC.A,STEMGRADS.SRB.A,STEMGRADS.URY.A,STEMGRADS.THA.A,STEMGRADS.BRA.A,STEMGRADS.LIE.A,STEMGRADS.BEN.A,STEMGRADS.NAM.A
,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Marshall Islands","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Azerbaijan","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Colombia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), United Arab Emirates","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Czechia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Gibraltar","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), France","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Georgia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Mongolia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Sweden","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Turkey","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Ghana","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Hungary","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), India","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Jordan","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Lithuania","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), El Salvador","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Ukraine","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Belarus","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Algeria","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Estonia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Mexico","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), New Zealand","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Qatar","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Albania","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Bosnia and Herzegovina","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Sri Lanka","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Israel","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Rwanda","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Saudi Arabia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Singapore","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Trinidad and Tobago","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Slovenia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Tunisia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Bulgaria","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Costa Rica","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Cuba","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Uzbekistan","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Armenia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Burkina Faso","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Botswana","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Luxembourg","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Morocco","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), North Macedonia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Malta","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Panama","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Turks and Caicos Islands","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Canada","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Andorra","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Denmark","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Greece","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Iceland","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Syrian Arab Republic","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Dominican Republic","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Egypt","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Sint Maarten (Dutch part)","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Oman","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Ecuador","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Croatia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Philippines","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Samoa","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Turkmenistan","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Chad","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Madagascar","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Bermuda","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), San Marino","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Slovakia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Seychelles","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), British Virgin Islands","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), South Africa","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Cyprus","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Ireland","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Kyrgyzstan","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Australia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Austria","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Belgium","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Switzerland","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Netherlands","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Poland","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Palestine","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), United States of America","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Germany","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Spain","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), United Kingdom of Great Britain and Northern Ireland","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Finland","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Italy","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Republic of Moldova","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Latvia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Monaco","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Malaysia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Mauritius","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Norway","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Romania","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Portugal","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Argentina","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Bahrain","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Belize","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Chile","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Republic of Korea","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Lebanon","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), China, Macao Special Administrative Region","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Serbia","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Uruguay","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Thailand","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Brazil","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Liechtenstein","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%), Benin","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%),Namibia "
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
